ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
1,20000,2,2,1,24,2,2,,-1,-2,s-2,3913,3R102,689,0,0,0,0,689,0,0,0,0,1
2,120000,2,2,2,26,-1,2,0,0,0,2,2682,T1725,2682,3272,3455,3261,n0,w1000,1000,1000,0,2000,1
3,90000,2,2,2,34,0,0,0,0,0,0,29239,14027,13559,14331,14948,1b5549,1518,,1000,1000,1000,5000,0
4,50000,2,2,1,37,0,0,0,0,0,0,46990,48233,49291,,28959,29t547,2000,2019,1200,1100,1069,1000,0
5,50000,1,,1,57,-1,0,-1,0,b0,0,8617,5670,,20940,19146,19131,2000,36681,10000,9000,689,679,0
6,50000,1,1,2,37,0,0,0,0,,0,64400,H57069,57608,19I394,19619,20024,2500,,657,1000,h1000,800,0
7,500000,1,1,2,29,0,0,0,0,0,0,367965,,,,483003,473944,,40000,38000,20239,13750,13770,0
8,n100000,2,2,,23,0,-1,-1,0,0,-1,,380,601,221,,567,380,601,0,581,1687,1542,0
9,140000,2,3,1,28,,0,2,0,0,,11285,14096,12108,12211,11793,3719,3329,0,432,1000,1000,1000,
10,20000,1,3,2,35,-2,,,-2,-1,-1,0,0,R0,0,13007,p13912,0,0,0,13007,,0,0
11,200000,2,M3,2,34,0,0,2,0,0,h-1,11073,9787,5535,2513,1828,3731,2306,12,50,300,3738,66,0
12,260000,2,Z1,2,51,-1,-1,-1,-1,-1,,12261,21670,,8517,,13668,21818,9966,8583,22301,0,3640,0
13,,2,2,2,41,-1,0,-1,,,-1,12137,6500,6500,6500,6500,2870,1000,6500,6500,6500,2870,0,0
14,70000,1,2,2,30,1,2,,0,0,2,65802,67369,65701,66782,36137,36894,,0,3000,3000,1500,0,1
15,250000,1,1,2,29,0,0,0,0,0,0,70887,67060,63561,59696,56875,,3000,3000,3000,3000,3000,3000,0
16,50000,2,3,3,23,1,2,0,0,0,0,50614,,28116,28771,29531,30211,0,,1100,1200,1300,1100,R0
